Date,DGS3,AAA,BAA
1986-01-01,8.25,10.05,11.37
1986-02-01,7.79,9.67,10.62
1986-03-01,7.02,9,10.31
1986-04-01,7.02,8.79,10.16
1986-05-01,7.58,9.09,10.41
1986-06-01,7,9.13,10.16
1986-07-01,6.81,8.88,10.25
1986-08-01,6.13,8.72,10.02
1986-09-01,6.68,8.89,10.2
1986-10-01,6.51,8.86,10.16
1986-11-01,6.38,8.68,10
1986-12-01,6.56,8.49,9.99
1987-01-01,6.51,8.36,9.68
1987-02-01,6.51,8.38,9.62
1987-03-01,6.79,8.36,9.7
1987-04-01,7.63,8.85,10.37
1987-05-01,7.94,9.33,10.57
1987-06-01,7.76,9.32,10.5
1987-07-01,7.95,9.42,10.77
1987-08-01,8.27,9.67,10.92
1987-09-01,8.93,10.18,11.54
1987-10-01,8,10.52,11.33
1987-11-01,8.05,10.01,11.23
1987-12-01,8.04,10.11,11.22
1988-01-01,7.48,9.88,10.77
1988-02-01,7.33,9.4,10.53
1988-03-01,7.66,9.39,10.76
1988-04-01,7.98,9.67,10.94
1988-05-01,8.44,9.9,11.13
1988-06-01,8.18,9.86,10.98
1988-07-01,8.57,9.96,11.19
1988-08-01,8.83,10.11,11.22
1988-09-01,8.52,9.82,10.49
1988-10-01,8.32,9.51,10.23
1988-11-01,8.87,9.45,10.61
1988-12-01,9.18,9.57,10.69
1989-01-01,9.13,9.62,10.57
1989-02-01,9.43,9.64,10.67
1989-03-01,9.66,9.8,10.61
1989-04-01,9.15,9.79,10.57
1989-05-01,8.78,9.57,10.3
1989-06-01,8.05,9.1,9.93
1989-07-01,7.58,8.93,9.81
1989-08-01,8.37,8.96,9.96
1989-09-01,8.46,9.01,9.93
1989-10-01,7.91,8.92,9.76
1989-11-01,7.75,8.89,9.83
1989-12-01,7.87,8.86,9.84
1990-01-01,8.36,8.99,10.11
1990-02-01,8.45,9.22,10.19
1990-03-01,8.69,9.37,10.23
1990-04-01,9.05,9.46,10.54
1990-05-01,8.53,9.47,10.31
1990-06-01,8.32,9.26,10.22
1990-07-01,8.04,9.24,10.13
1990-08-01,8.26,9.41,10.55
1990-09-01,8.19,9.56,10.76
1990-10-01,7.97,9.53,10.78
1990-11-01,7.67,9.3,10.53
1990-12-01,7.4,9.05,10.43
1991-01-01,7.3,9.04,10.33
1991-02-01,7.26,8.83,10.11
1991-03-01,7.3,8.93,10.01
1991-04-01,7.15,8.86,9.85
1991-05-01,7.1,8.86,9.83
1991-06-01,7.33,9.01,9.9
1991-07-01,7.21,9,9.8
1991-08-01,6.68,8.75,9.57
1991-09-01,6.28,8.61,9.41
1991-10-01,6.06,8.55,9.49
1991-11-01,5.76,8.48,9.44
1991-12-01,5.11,8.31,9.1
1992-01-01,5.65,8.2,9.21
1992-02-01,5.75,8.29,9.17
1992-03-01,6.17,8.35,9.24
1992-04-01,6.05,8.33,9.24
1992-05-01,5.75,8.28,9.1
1992-06-01,5.39,8.22,9
1992-07-01,4.97,8.07,8.69
1992-08-01,4.69,7.95,8.68
1992-09-01,4.34,7.92,8.66
1992-10-01,4.98,7.99,8.99
1992-11-01,5.36,8.1,8.95
1992-12-01,5.12,7.98,8.76
1993-01-01,4.72,7.91,8.5
1993-02-01,4.37,7.71,8.23
1993-03-01,4.42,7.58,8.21
1993-04-01,4.3,7.46,8.17
1993-05-01,4.63,7.43,8.26
1993-06-01,4.39,7.33,7.96
1993-07-01,4.5,7.17,7.88
1993-08-01,4.2,6.85,7.36
1993-09-01,4.24,6.66,7.4
1993-10-01,4.3,6.67,7.39
1993-11-01,4.55,6.93,7.74
1993-12-01,4.58,6.93,7.77
1994-01-01,4.44,6.92,7.55
1994-02-01,5.04,7.08,7.92
1994-03-01,5.66,7.48,8.36
1994-04-01,6.16,7.88,8.54
1994-05-01,6.36,7.99,8.68
1994-06-01,6.52,7.97,8.86
1994-07-01,6.33,8.11,8.61
1994-08-01,6.44,8.07,8.74
1994-09-01,6.92,8.34,9.12
1994-10-01,7.1,8.57,9.21
1994-11-01,7.62,8.68,9.21
1994-12-01,7.8,8.46,9.14
1995-01-01,7.39,8.46,8.93
1995-02-01,6.9,8.26,8.75
1995-03-01,6.92,8.12,8.69
1995-04-01,6.72,8.03,8.58
1995-05-01,5.95,7.65,7.96
1995-06-01,5.88,7.3,7.95
1995-07-01,6.02,7.41,8.17
1995-08-01,5.95,7.57,8.01
1995-09-01,5.91,7.32,7.88
1995-10-01,5.7,7.12,7.73
1995-11-01,5.41,7.02,7.57
1995-12-01,5.25,6.82,7.38
1996-01-01,5.06,6.81,7.42
1996-02-01,5.56,6.99,7.91
1996-03-01,5.91,7.35,8.12
1996-04-01,6.19,7.5,8.27
1996-05-01,6.44,7.62,8.33
1996-06-01,6.3,7.71,8.24
1996-07-01,6.39,7.65,8.3
1996-08-01,6.54,7.46,8.44
1996-09-01,6.28,7.66,8.22
1996-10-01,5.92,7.39,7.91
1996-11-01,5.7,7.1,7.71
1996-12-01,6.04,7.2,7.97
1997-01-01,6.08,7.42,8.03
1997-02-01,6.23,7.31,8.05
1997-03-01,6.6,7.55,8.32
1997-04-01,6.42,7.73,8.22
1997-05-01,6.37,7.58,8.18
1997-06-01,6.25,7.41,8.01
1997-07-01,5.81,7.14,7.56
1997-08-01,6.1,7.22,7.78
1997-09-01,5.88,7.15,7.66
1997-10-01,5.7,7,7.44
1997-11-01,5.8,6.87,7.38
1997-12-01,5.68,6.76,7.28
1998-01-01,5.35,6.61,7.21
1998-02-01,5.55,6.67,7.29
1998-03-01,5.61,6.72,7.34
1998-04-01,5.62,6.69,7.34
1998-05-01,5.54,6.69,7.19
1998-06-01,5.49,6.53,7.11
1998-07-01,5.48,6.55,7.21
1998-08-01,4.85,6.52,7.11
1998-09-01,4.26,6.4,7.01
1998-10-01,4.24,6.37,7.29
1998-11-01,4.54,6.41,7.19
1998-12-01,4.55,6.22,7.23
1999-01-01,4.57,6.24,7.21
1999-02-01,5.16,6.4,7.53
1999-03-01,5.07,6.62,7.56
1999-04-01,5.17,6.64,7.58
1999-05-01,5.51,6.93,7.82
1999-06-01,5.59,7.23,7.99
1999-07-01,5.7,7.19,8.11
1999-08-01,5.82,7.4,8.21
1999-09-01,5.7,7.39,8.2
1999-10-01,5.9,7.55,8.3
1999-11-01,6.05,7.36,8.17
1999-12-01,6.29,7.55,8.18
2000-01-01,6.65,7.78,8.36
2000-02-01,6.58,7.68,8.33
2000-03-01,6.44,7.68,8.33
2000-04-01,6.64,7.64,8.57
2000-05-01,6.66,7.99,8.81
2000-06-01,6.31,7.67,8.43
2000-07-01,6.24,7.65,8.31
2000-08-01,6.09,7.55,8.24
2000-09-01,5.91,7.62,8.34
2000-10-01,5.87,7.55,8.33
2000-11-01,5.52,7.45,8.12
2000-12-01,5.06,7.21,8
2001-01-01,4.67,7.15,7.81
2001-02-01,4.48,7.1,7.8
2001-03-01,4.33,6.98,7.97
2001-04-01,4.55,7.2,8.08
2001-05-01,4.49,7.29,8.08
2001-06-01,4.52,7.18,8.07
2001-07-01,4.06,7.13,7.85
2001-08-01,3.91,7.02,7.75
2001-09-01,3.22,7.17,8.02
2001-10-01,2.87,7.03,7.68
2001-11-01,3.3,6.97,7.88
2001-12-01,3.59,6.77,7.92
2002-01-01,3.7,6.55,7.92
2002-02-01,3.64,6.51,7.86
2002-03-01,4.31,6.81,8.23
2002-04-01,3.83,6.76,7.95
2002-05-01,3.73,6.75,8.06
2002-06-01,3.37,6.63,7.99
2002-07-01,2.67,6.53,7.76
2002-08-01,2.5,6.37,7.46
2002-09-01,2.02,6.15,7.39
2002-10-01,2.05,6.32,7.75
2002-11-01,2.51,6.31,7.6
2002-12-01,1.99,6.21,7.31
2003-01-01,2.16,6.17,7.16
2003-02-01,1.91,5.95,6.92
2003-03-01,1.93,5.89,6.87
2003-04-01,1.95,5.74,6.65
2003-05-01,1.58,5.22,6.22
2003-06-01,1.66,4.97,6.35
2003-07-01,2.33,5.49,7.07
2003-08-01,2.51,5.88,6.91
2003-09-01,1.95,5.72,6.53
2003-10-01,2.36,5.7,6.69
2003-11-01,2.56,5.65,6.67
2003-12-01,2.37,5.62,6.61
2004-01-01,2.35,5.54,6.35
2004-02-01,2.13,5.5,6.2
2004-03-01,1.99,5.33,6.15
2004-04-01,2.86,5.73,6.58
2004-05-01,3.1,6.04,6.69
2004-06-01,3.16,6.01,6.71
2004-07-01,3.09,5.82,6.6
2004-08-01,2.75,5.65,6.32
2004-09-01,2.89,5.46,6.25
2004-10-01,2.82,5.47,6.14
2004-11-01,3.29,5.52,6.31
2004-12-01,3.25,5.47,6.1
2005-01-01,3.43,5.36,5.89
2005-02-01,3.75,5.2,5.95
2005-03-01,3.96,5.4,6.14
2005-04-01,3.73,5.33,5.97
2005-05-01,3.65,5.15,5.9
2005-06-01,3.67,4.96,5.81
2005-07-01,4.06,5.06,5.95
2005-08-01,3.83,5.09,5.79
2005-09-01,4.18,5.13,6.15
2005-10-01,4.41,5.35,6.4
2005-11-01,4.41,5.42,6.38
2005-12-01,4.37,5.37,6.21
2006-01-01,4.49,5.29,6.31
2006-02-01,4.67,5.35,6.2
2006-03-01,4.83,5.53,6.55
2006-04-01,4.87,5.84,6.74
2006-05-01,5.03,5.95,6.78
2006-06-01,5.13,5.89,6.82
2006-07-01,4.93,5.85,6.67
2006-08-01,4.71,5.68,6.47
2006-09-01,4.62,5.51,6.36
2006-10-01,4.62,5.51,6.25
2006-11-01,4.52,5.33,6.1
2006-12-01,4.74,5.32,6.35
2007-01-01,4.85,5.4,6.4
2007-02-01,4.55,5.39,6.16
2007-03-01,4.54,5.3,6.4
2007-04-01,4.54,5.47,6.31
2007-05-01,4.88,5.47,6.5
2007-06-01,4.89,5.79,6.62
2007-07-01,4.55,5.73,6.63
2007-08-01,4.16,5.79,6.59
2007-09-01,4.03,5.74,6.59
2007-10-01,3.94,5.66,6.47
2007-11-01,3.09,5.44,6.44
2007-12-01,3.07,5.49,6.56
2008-01-01,2.27,5.33,6.63
2008-02-01,1.87,5.53,6.75
2008-03-01,1.79,5.51,6.9
2008-04-01,2.49,5.55,6.87
2008-05-01,2.93,5.57,7.06
2008-06-01,2.91,5.68,7.04
2008-07-01,2.81,5.67,7.21
2008-08-01,2.6,5.64,7.12
2008-09-01,2.28,5.65,7.85
2008-10-01,1.8,6.28,9.54
2008-11-01,1.27,6.12,9.03
2008-12-01,1,5.05,8.07
2009-01-01,1.32,5.05,8.25
2009-02-01,1.4,5.27,8.24
2009-03-01,1.15,5.5,8.45
2009-04-01,1.38,5.39,8.24
2009-05-01,1.42,5.54,7.76
2009-06-01,1.64,5.61,7.17
2009-07-01,1.62,5.41,6.63
2009-08-01,1.49,5.26,6.38
2009-09-01,1.45,5.13,6.17
2009-10-01,1.43,5.15,6.27
2009-11-01,1.12,5.19,6.2
2009-12-01,1.7,5.26,6.39
2010-01-01,1.38,5.26,6.2
2010-02-01,1.36,5.35,6.23
2010-03-01,1.6,5.27,6.31
2010-04-01,1.51,5.29,6.07
2010-05-01,1.26,4.96,6.2
2010-06-01,1,4.88,6.05
2010-07-01,0.84,4.72,5.85
2010-08-01,0.72,4.49,5.48
2010-09-01,0.64,4.53,5.58
2010-10-01,0.51,4.68,5.78
2010-11-01,0.72,4.87,5.84
2010-12-01,1.02,5.02,5.98
2011-01-01,0.98,5.04,6.1
2011-02-01,1.18,5.22,5.99
2011-03-01,1.29,5.13,6.05
2011-04-01,1.01,5.16,5.9
2011-05-01,0.79,4.96,5.7
2011-06-01,0.81,4.99,5.9
2011-07-01,0.55,4.93,5.59
2011-08-01,0.33,4.37,5.48
2011-09-01,0.42,4.09,5.22
2011-10-01,0.41,3.98,5.19
2011-11-01,0.41,3.87,5.32
2011-12-01,0.36,3.93,5.16
2012-01-01,0.3,3.85,5.07
2012-02-01,0.43,3.85,5.08
2012-03-01,0.51,3.99,5.3
2012-04-01,0.38,3.96,5.15
2012-05-01,0.35,3.8,4.99
2012-06-01,0.41,3.64,5.06
2012-07-01,0.3,3.4,4.78
2012-08-01,0.3,3.48,4.78
2012-09-01,0.31,3.49,4.72
2012-10-01,0.38,3.47,4.45
2012-11-01,0.34,3.5,4.57
2012-12-01,0.36,3.65,4.63
2013-01-01,0.42,3.8,4.84
2013-02-01,0.36,3.9,4.78
2013-03-01,0.36,3.93,4.83
2013-04-01,0.32,3.73,4.53
2013-05-01,0.52,3.89,4.95
2013-06-01,0.66,4.27,5.35
2013-07-01,0.61,4.34,5.28
2013-08-01,0.79,4.54,5.34
2013-09-01,0.63,4.64,5.39
2013-10-01,0.57,4.53,5.22
2013-11-01,0.56,4.63,5.36
2013-12-01,0.78,4.62,5.37
2014-01-01,0.69,4.49,5.07
2014-02-01,0.69,4.45,5.01
2014-03-01,0.9,4.38,4.99
2014-04-01,0.87,4.24,4.83
2014-05-01,0.79,4.16,4.7
2014-06-01,0.88,4.25,4.71
2014-07-01,1.02,4.16,4.75
2014-08-01,0.94,4.08,4.58
2014-09-01,1.07,4.11,4.81
2014-10-01,0.95,3.92,4.74
2014-11-01,0.88,3.92,4.7
2014-12-01,1.1,3.79,4.68
2015-01-01,0.77,3.46,4.29
2015-02-01,1.01,3.61,4.46
2015-03-01,0.89,3.64,4.49
2015-04-01,0.91,3.52,4.65
2015-05-01,0.94,3.98,4.84
2015-06-01,1.01,4.19,5.18
2015-07-01,1,4.15,5.14
2015-08-01,1.07,4.04,5.36
2015-09-01,0.92,4.07,5.35
2015-10-01,1.05,3.95,5.35
2015-11-01,1.24,4.06,5.41
2015-12-01,1.31,3.97,5.5
2016-01-01,0.97,4,5.42
2016-02-01,0.91,3.96,5.29
2016-03-01,0.87,3.82,4.9
2016-04-01,0.92,3.62,4.69
2016-05-01,1.03,3.65,4.68
2016-06-01,0.71,3.5,4.41
2016-07-01,0.76,3.28,4.17
2016-08-01,0.92,3.32,4.19
2016-09-01,0.88,3.41,4.29
2016-10-01,1,3.51,4.45
2016-11-01,1.4,3.86,4.82
2016-12-01,1.47,4.06,4.73
2017-01-01,1.46,3.92,4.68
2017-02-01,1.49,3.95,4.55
2017-03-01,1.5,4.01,4.64
2017-04-01,1.45,3.87,4.57
2017-05-01,1.44,3.85,4.44
2017-06-01,1.55,3.68,4.4
2017-07-01,1.51,3.7,4.36
2017-08-01,1.44,3.63,4.26
2017-09-01,1.62,3.63,4.33
2017-10-01,1.73,3.6,4.29
2017-11-01,1.9,3.57,4.3
2017-12-01,1.98,3.51,4.17
2018-01-01,2.29,3.55,4.28
2018-02-01,2.42,3.82,4.55
2018-03-01,2.39,3.87,4.59
2018-04-01,2.62,3.85,4.74
2018-05-01,2.54,4,4.72
2018-06-01,2.63,3.96,4.84
2018-07-01,2.77,3.87,4.79
2018-08-01,2.7,3.88,4.78
2018-09-01,2.88,3.98,4.89
2018-10-01,2.93,4.14,5.18
2018-11-01,2.83,4.22,5.28
2018-12-01,2.46,4.02,5.14
2019-01-01,2.43,3.93,5.01
2019-02-01,2.5,3.79,4.95
2019-03-01,2.21,3.77,4.67
2019-04-01,2.24,3.69,4.65
2019-05-01,1.9,3.67,4.51
2019-06-01,1.71,3.42,4.31
2019-07-01,1.84,3.29,4.15
2019-08-01,1.42,2.98,3.76
2019-09-01,1.56,3.03,3.88
2019-10-01,1.52,3.01,3.87
2019-11-01,1.61,3.06,3.86
2019-12-01,1.62,3.01,3.9
2020-01-01,1.3,2.94,3.64
2020-02-01,0.85,2.78,3.51
2020-03-01,0.29,3.02,4.63
2020-04-01,0.24,2.43,3.87
2020-05-01,0.19,2.5,3.73
2020-06-01,0.18,2.44,3.59
2020-07-01,0.11,2.14,3.15
2020-08-01,0.15,2.25,3.39
2020-09-01,0.16,2.31,3.44
2020-10-01,0.19,2.35,3.49
2020-11-01,0.19,2.3,3.13
2020-12-01,0.17,2.26,3.11
2021-01-01,0.19,2.45,3.28
2021-02-01,0.3,2.7,3.56
2021-03-01,0.35,3.04,3.77
2021-04-01,0.35,2.9,3.61
2021-05-01,0.3,2.96,3.57
2021-06-01,0.46,2.79,3.32
2021-07-01,0.35,2.57,3.19
2021-08-01,0.4,2.55,3.24
2021-09-01,0.53,2.53,3.37
2021-10-01,0.75,2.68,3.24
2021-11-01,0.81,2.62,3.24
2021-12-01,0.97,2.65,3.37
2022-01-01,1.39,2.93,3.72
2022-02-01,1.62,3.25,4.17
2022-03-01,2.45,3.43,4.25
2022-04-01,2.87,3.76,4.94
2022-05-01,2.71,4.13,5.03
2022-06-01,2.99,4.24,5.29
2022-07-01,2.83,4.06,5.03
2022-08-01,3.46,4.07,5.33
