Date,Median House Price,Average Rental Price
1980-01-01,4.6729,8.83978
1980-04-01,0.79114,9.34959
1980-07-01,0.98039,8.99471
1980-10-01,6.18007,9.05563
1981-01-01,5.30462,8.88325
1981-04-01,9.00052,8.30235
1981-07-01,6.23403,8.6165
1981-10-01,4.96739,8.54093
1982-01-01,-0.69825,8.15851
1982-04-01,0.24004,7.55149
1982-07-01,0.4329,7.03911
1982-10-01,2.72467,6.55738
1983-01-01,10.39679,6.35776
1983-04-01,7.75862,6.06383
1983-07-01,11.59004,5.63674
1983-10-01,5.95626,4.82051
1984-01-01,6.36943,4.7619
1984-04-01,7.33333,5.21565
1984-07-01,4.72103,5.33597
1984-10-01,5.7971,5.87084
1985-01-01,6.37297,5.89942
1985-04-01,4.34783,6.19638
1985-07-01,2.5,6.09756
1985-10-01,8.13616,6.37708
1986-01-01,6.55408,6.11872
1986-04-01,9.44444,5.9246
1986-07-01,12.19512,5.74713
1986-10-01,9.55854,4.95222
1987-01-01,10.22642,4.81928
1987-04-01,12.54532,3.64407
1987-07-01,13.4355,4.01338
1987-10-01,17.48423,3.97351
1988-01-01,15.98768,3.77668
1988-04-01,7.11985,4.08831
1988-07-01,8.26265,3.77814
1988-10-01,2.68416,3.5828
1989-01-01,4.48642,3.71835
1989-04-01,7.81955,3.92773
1989-07-01,4.14974,3.71805
1989-10-01,8.39384,4.15065
1990-01-01,4.88701,4.11899
1990-04-01,5.99721,4.2328
1990-07-01,-2.45194,4.55564
1990-10-01,-1.95606,4.13284
1991-01-01,-2.96256,4.0293
1991-04-01,-6.31579,3.69833
1991-07-01,3.05627,3.28571
1991-10-01,-0.76524,2.90574
1992-01-01,-0.86039,3.09859
1992-04-01,0.42135,2.51748
1992-07-01,0.05543,1.79806
1992-10-01,4.62682,2.3416
1993-01-01,4.25532,1.84426
1993-04-01,6.68531,2.52387
1993-07-01,5.23546,2.58152
1993-10-01,0.02632,2.22073
1994-01-01,4.24275,2.74983
1994-04-01,2.88411,2.06254
1994-07-01,1.9742,2.64901
1994-10-01,4.44737,2.50165
1995-01-01,1.21072,2.2846
1995-04-01,2.34455,2.67275
1995-07-01,2.19411,2.25806
1995-10-01,3.50214,2.50482
1996-01-01,3.91957,2.48883
1996-04-01,3.71016,2.66667
1996-07-01,6.13791,2.77603
1996-10-01,5.20935,2.75689
1997-01-01,6.78423,2.80199
1997-04-01,4.68187,2.90662
1997-07-01,3.80771,3.00798
1997-10-01,0.04627,3.10976
1998-01-01,4.74771,3.14961
1998-04-01,3.02752,3.1851
1998-07-01,5.41036,3.33731
1998-10-01,5.92044,3.42992
1999-01-01,2.99978,3.34703
1999-04-01,5.43188,3.14502
1999-07-01,3.56677,2.88351
1999-10-01,8.71179,3.08748
2000-01-01,4.37925,3.40909
2000-04-01,2.91385,3.44438
2000-07-01,6.48887,3.86771
2000-10-01,3.03274,4.04881
2001-01-01,3.19756,4.17582
2001-04-01,8.71974,4.58515
2001-07-01,1.5776,4.64112
2001-10-01,1.28655,4.69083
2002-01-01,10.83481,4.53586
2002-04-01,5.43499,4.01879
2002-07-01,3.28092,3.50696
2002-10-01,9.31486,3.10591
2003-01-01,-1.38889,2.97679
2003-04-01,2.54161,2.91019
2003-07-01,7.65038,2.93971
2003-10-01,5.14085,2.66667
2004-01-01,15.33044,2.49878
2004-04-01,13.40548,2.73038
2004-07-01,12.11804,2.80736
2004-10-01,14.41728,2.886
2005-01-01,7.98497,3.01147
2005-04-01,6.3106,2.89511
2005-07-01,10.52796,2.91902
2005-10-01,5.42953,3.08555
2006-01-01,6.49558,3.15545
2006-04-01,6.90604,3.50554
2006-07-01,-0.1409,3.88838
2006-10-01,2.05441,4.30839
2007-01-01,4.5337,4.58614
2007-04-01,-2.08559,4.30971
2007-07-01,2.01778,3.94452
2007-10-01,-3.27802,3.95739
2008-01-01,-7.91873,3.60395
2008-04-01,-1.79806,3.66086
2008-07-01,-5.46335,3.7567
2008-10-01,-6.56729,3.41946
2009-01-01,-11.82461,3.22368
2009-04-01,-7.57746,2.65908
2009-07-01,-6.67154,1.64907
2009-10-01,-1.18904,0.69598
2010-01-01,6.65704,0.18099
2010-04-01,0.32002,-0.03734
2010-07-01,4.51481,0.16187
2010-10-01,1.29474,0.798
2011-01-01,2.3763,1.22687
2011-04-01,4.34452,1.44298
2011-07-01,-0.03,2.10933
2011-10-01,-1.09774,2.47145
2012-01-01,3.04099,2.54774
2012-04-01,3.10089,2.69803
2012-07-01,11.80795,2.66781
2012-10-01,14.10978,2.68635
2013-01-01,10.36498,2.80467
2013-04-01,13.35781,2.89044
2013-07-01,5.64949,2.95156
2013-10-01,8.84744,2.87393
2014-01-01,5.99406,2.88352
2014-04-01,5.51819,3.15318
2014-07-01,5.88086,3.29238
2014-10-01,9.78088,3.38108
2015-01-01,5.4479,3.52632
2015-04-01,2.361,3.52679
2015-07-01,6.14203,3.70794
2015-10-01,1.21543,3.67781
2016-01-01,3.72168,3.65874
2016-04-01,6.64283,3.81397
2016-07-01,2.97242,3.69607
2016-10-01,4.08725,3.95977
2017-01-01,4.17874,3.87715
2017-04-01,2.72521,3.85668
2017-07-01,6.31105,3.78175
2017-10-01,6.49873,3.68937
2018-01-01,6.129,3.61304
2018-04-01,-0.87378,3.5807
2018-07-01,0.88788,3.63073
2018-10-01,-3.94554,3.4759
2019-01-01,-5.58355,3.68174
2019-04-01,2.32583,3.87349
2019-07-01,-2.68113,3.82573
2019-10-01,1.38645,3.68641
2020-01-01,5.56149,3.66581
2020-04-01,0.49818,3.21974
2020-07-01,5.12093,2.71872
2020-10-01,8.48046,2.2762
2021-01-01,10.70887,1.82552
2021-04-01,17.90767,1.91594
2021-07-01,22.38672,2.43358
2021-10-01,19.24741,3.33164
2022-01-01,18.17684,4.44468
2022-04-01,17.12359,5.77691
