Date,USA-GDP,USA-M2,AUS-GDP,AUS-M3
1960-01-01,4.92542,3.49239,,
1960-04-01,2.05821,2.78817,,
1960-07-01,2.48539,3.94338,11.92876,
1960-10-01,0.88268,4.90262,10.74663,
1961-01-01,-0.66913,6.34815,3.10245,2.02475
1961-04-01,1.56445,7.27754,-0.77664,2.01185
1961-07-01,3.00992,6.84176,-1.70691,2.77209
1961-10-01,6.39553,7.39437,-0.39102,4.8102
1962-01-01,7.56728,7.79139,2.09937,7.63506
1962-04-01,6.72769,7.70891,5.2133,7.48345
1962-07-01,6.00401,7.70865,6.82694,7.85278
1962-10-01,4.3071,8.1073,7.52175,7.97594
1963-01-01,3.59787,8.0443,7.00088,8.04097
1963-04-01,3.82216,8.33095,3.62359,8.64647
1963-07-01,4.81693,8.76303,7.0142,9.03043
1963-10-01,5.15824,8.40915,7.37536,10.54735
1964-01-01,6.21582,7.85001,4.78326,11.66153
1964-04-01,6.18075,7.58457,8.7806,12.24986
1964-07-01,5.51983,8.00518,5.13975,12.25989
1964-10-01,5.15634,8.01119,5.85869,11.03078
1965-01-01,5.47714,8.35418,6.92284,10.37996
1965-04-01,5.65928,8.10612,5.98478,8.2028
1965-07-01,6.3469,7.81962,5.01918,5.68697
1965-10-01,8.46216,8.12338,2.3672,5.56433
1966-01-01,8.4775,7.84857,1.22048,4.80769
1966-04-01,7.49014,7.06658,1.02482,5.71429
1966-07-01,6.04287,5.76196,4.18707,7.61905
1966-10-01,4.50502,4.57317,4.61802,7.47664
1967-01-01,2.92504,4.81592,9.01671,8.25688
1967-04-01,2.63752,6.5365,7.38866,8.10811
1967-07-01,2.73849,8.26672,6.39646,8.84956
1967-10-01,2.67084,9.2878,6.62126,8.69565
1968-01-01,3.84521,8.88299,1.70346,7.62712
1968-04-01,5.51558,8.08765,5.77047,8.33333
1968-07-01,5.33667,7.5578,5.19286,7.31707
1968-10-01,4.95957,8.00305,8.17294,7.2
1969-01-01,4.4716,7.72693,8.38922,8.66142
1969-04-01,3.06714,6.61629,6.43886,9.23077
1969-07-01,2.9501,5.14812,6.79117,9.09091
1969-10-01,2.04665,3.72265,5.32557,9.70149
1970-01-01,0.32493,2.24582,8.26747,7.97101
1970-04-01,0.16284,2.88678,8.29939,5.6338
1970-07-01,0.42258,4.99914,6.30748,5.55556
1970-10-01,-0.1667,6.56574,4.40787,4.7619
1971-01-01,2.69724,10.65895,3.51906,5.36913
1971-04-01,3.10661,13.07124,1.91693,7.33333
1971-07-01,3.00589,13.3017,5.33792,8.55263
1971-10-01,4.3672,13.3759,4.50069,9.09091
1972-01-01,3.47607,12.86352,1.99841,9.55414
1972-04-01,5.25519,11.39673,3.83589,10.55901
1972-07-01,5.38194,12.38989,0.16525,14.54545
1972-10-01,6.89448,12.95227,1.55332,19.64286
1973-01-01,7.56189,11.15201,5.45403,22.09302
1973-04-01,6.31966,11.15113,3.34127,25.8427
1973-07-01,4.77109,7.83759,4.91471,25.39683
1973-10-01,4.02376,6.63094,6.40635,20.89552
1974-01-01,0.63877,6.72145,3.74608,19.52381
1974-04-01,-0.20842,5.34021,1.44944,12.94643
1974-07-01,-0.629,5.79054,1.63383,4.64135
1974-10-01,-1.94545,5.44711,-0.74175,6.99588
1975-01-01,-2.29905,6.30962,-0.3689,10.75697
1975-04-01,-1.83426,9.70608,4.9023,15.41502
1975-07-01,0.79868,11.66798,2.53048,23.3871
1975-10-01,2.55402,12.64827,0.8833,21.92308
1976-01-01,6.15239,13.51351,4.92437,16.54676
1976-04-01,6.17259,11.90031,2.02913,14.72603
1976-07-01,4.95864,12.03227,3.99366,28.43137
1976-10-01,4.31481,13.36351,6.50815,28.07571
1977-01-01,3.22596,13.19048,1.44752,29.62963
1977-04-01,4.46632,13.01039,2.56662,27.76119
1977-07-01,5.7709,12.18941,1.30815,9.92366
1977-10-01,5.01203,10.2691,0.11579,8.867
1978-01-01,4.11706,8.72528,1.3748,8.57143
1978-04-01,6.07815,8.26901,0.78088,9.81308
1978-07-01,5.24577,7.9281,2.75154,12.26852
1978-10-01,6.6581,7.53365,3.9346,12.44344
1979-01-01,6.50991,7.39824,6.03242,13.59649
1979-04-01,2.65686,7.92567,3.48073,13.19149
1979-07-01,2.38992,8.11152,2.87859,12.16495
1979-10-01,1.28456,7.88433,4.00268,13.27968
1980-01-01,1.42078,8.07033,1.68066,13.12741
1980-04-01,-0.77506,7.46311,3.60914,13.15789
1980-07-01,-1.6238,8.24565,3.19641,14.33824
1980-10-01,-0.03913,8.55669,2.98733,14.56483
1981-01-01,1.59998,9.12122,2.92265,12.79863
1981-04-01,2.9687,9.22705,4.2457,13.45515
1981-07-01,4.32577,8.38628,5.78121,12.37942
1981-10-01,1.2999,9.73247,3.57309,11.16279
1982-01-01,-2.19035,9.15923,2.33499,11.34644
1982-04-01,-1.01057,9.32168,1.68597,11.27379
1982-07-01,-2.55592,8.93318,-0.98866,11.1588
1982-10-01,-1.44316,8.56736,-2.1651,11.43654
1983-01-01,1.43146,12.80157,-2.34893,12.90761
1983-04-01,3.26853,12.45893,-3.39945,12.76316
1983-07-01,5.73717,12.09643,-0.03385,13.64221
1983-10-01,7.89997,11.41718,3.26697,14.26783
1984-01-01,8.57828,7.93966,6.93773,13.71841
1984-04-01,7.9967,7.86949,8.33752,12.48541
1984-07-01,6.90084,7.7381,6.29295,13.25028
1984-10-01,5.5758,8.61314,5.2727,14.01972
1985-01-01,4.55509,8.7808,4.18171,15.02646
1985-04-01,3.68422,8.91608,5.30371,15.6639
1985-07-01,4.26244,9.44573,5.82895,17.2
1985-10-01,4.18227,8.05151,4.83287,14.60134
1986-01-01,4.14559,7.0535,3.99827,11.95952
1986-04-01,3.70158,7.9748,1.56719,12.55605
1986-07-01,3.11924,8.60609,0.49555,8.87372
1986-10-01,2.90803,9.46591,2.41344,9.13663
1987-01-01,2.71584,8.7087,2.73572,9.3673
1987-04-01,3.35848,6.51056,4.53724,9.56175
1987-07-01,3.26693,4.93665,6.13359,11.44201
1987-10-01,4.47902,3.60704,6.5208,12.59601
1988-01-01,4.24219,4.97512,5.96078,12.69722
1988-04-01,4.4846,5.90355,4.39511,12.87273
1988-07-01,4.19287,5.62243,3.37298,12.79887
1988-10-01,3.79897,5.7246,2.91969,16.71214
1989-01-01,4.31524,3.77071,3.52452,21.46667
1989-04-01,3.74829,3.04588,5.63212,24.2268
1989-07-01,3.90811,4.58588,5.6588,24.75062
1989-10-01,2.7438,5.49829,3.73322,19.92987
1990-01-01,2.8213,6.3473,3.50652,16.08123
1990-04-01,2.41277,6.13627,1.49629,12.3444
1990-07-01,1.72722,5.24171,0.07417,10.74463
1990-10-01,0.60286,3.7843,0.9399,10.67251
1991-01-01,-0.95024,4.13153,-1.1486,6.71395
1991-04-01,-0.53889,4.30034,-1.43525,5.40166
1991-07-01,-0.10272,3.08179,-0.43797,4.24188
1991-10-01,1.1665,3.06865,-0.96442,2.02554
1992-01-01,2.85887,2.46847,1.09742,2.56978
1992-04-01,3.16976,1.2381,1.98912,2.93473
1992-07-01,3.66532,1.65132,2.55103,3.33333
1992-10-01,4.38259,1.55685,4.60988,4.01381
1993-01-01,3.31998,0.22915,4.55351,6.09071
1993-04-01,2.80667,1.44398,4.41566,6.34043
1993-07-01,2.28652,1.22863,3.52062,5.61374
1993-10-01,2.60762,1.45414,3.28406,6.09959
1994-01-01,3.43052,2.00487,4.23174,7.04397
1994-04-01,4.2254,1.07774,4.8689,7.16287
1994-07-01,4.33678,0.98198,5.54827,7.53669
1994-10-01,4.11593,0.3425,4.7277,9.77708
1995-01-01,3.48113,0.31608,3.0857,8.40624
1995-04-01,2.40217,1.99454,2.27435,7.61763
1995-07-01,2.67311,3.3275,3.78142,9.29546
1995-10-01,2.19958,4.10452,2.68151,9.01318
1996-01-01,2.6011,5.60855,4.32762,9.05263
1996-04-01,4.00213,4.89166,4.62321,9.64608
1996-07-01,4.04992,4.20033,3.10678,8.0324
1996-10-01,4.42131,5.21008,4.08658,8.59477
1997-01-01,4.31413,4.72755,3.03945,8.81596
1997-04-01,4.30807,4.92948,5.37955,9.20886
1997-07-01,4.6738,5.85336,4.71781,8.4661
1997-10-01,4.48768,5.612,5.25959,6.59043
1998-01-01,4.85501,6.55496,5.31429,5.94323
1998-04-01,4.09573,7.11982,3.21203,6.11417
1998-07-01,4.09777,7.41235,5.0132,8.35253
1998-10-01,4.87954,8.48769,5.07067,7.87691
1999-01-01,4.82186,7.72428,5.14462,9.23807
1999-04-01,4.72753,7.72209,4.52449,10.07646
1999-07-01,4.80021,7.03206,3.77189,9.2504
1999-10-01,4.82763,6.00658,3.98055,9.36928
2000-01-01,4.22596,6.27468,3.62844,7.97138
2000-04-01,5.24468,5.87061,4.26473,7.16944
2000-07-01,3.97408,6.25041,3.33014,7.05596
2000-10-01,2.90162,6.18801,1.22855,4.90548
2001-01-01,2.19554,7.6812,1.87392,7.31188
2001-04-01,0.99193,8.41821,1.74753,8.44907
2001-07-01,0.48735,10.20358,2.70787,9.31818
2001-10-01,0.17064,10.33096,4.32785,13.73175
2002-01-01,1.32881,8.34385,4.04227,13.16428
2002-04-01,1.32288,7.20982,4.96682,5.93383
2002-07-01,2.14067,5.75125,4.0417,7.25572
2002-10-01,1.99129,6.22401,3.63823,6.61853
2003-01-01,1.67619,6.664,3.0583,6.68355
2003-04-01,1.95699,8.10421,1.74816,13.72154
2003-07-01,3.23991,7.36917,3.20254,11.99845
2003-10-01,4.29508,5.11608,4.0462,11.77577
2004-01-01,4.35338,4.92544,4.65097,11.48858
2004-04-01,4.23481,4.57805,4.9087,10.09922
2004-07-01,3.49083,4.48722,3.91445,9.3631
2004-10-01,3.35577,5.78511,3.00641,8.8859
2005-01-01,3.90862,4.74464,2.98479,7.83093
2005-04-01,3.60741,3.75249,2.75514,8.94754
2005-07-01,3.44767,4.08176,3.11461,9.21032
2005-10-01,2.98267,4.10701,3.12548,8.19165
2006-01-01,3.22486,4.983,2.45859,9.63233
2006-04-01,2.97727,5.21227,2.22025,10.23634
2006-07-01,2.32829,5.14665,2.59482,11.20128
2006-10-01,2.6089,5.83217,3.12689,13.04286
2007-01-01,1.54072,5.85843,4.45326,14.42627
2007-04-01,1.93864,6.3361,4.88548,16.52151
2007-07-01,2.39856,6.60983,4.5336,18.96013
2007-10-01,2.16088,5.65643,3.62129,22.81056
2008-01-01,1.4468,6.94361,3.24556,21.27891
2008-04-01,1.38013,6.18663,2.93736,19.08924
2008-07-01,0.2422,6.16355,2.48624,19.31208
2008-10-01,-2.54034,9.64318,1.59106,16.36139
2009-01-01,-3.28239,9.31402,1.47678,14.06032
2009-04-01,-3.9955,9.207,1.91905,13.84705
2009-07-01,-3.13768,7.4394,1.50247,8.77708
2009-10-01,0.08166,3.70967,2.75284,4.20941
2010-01-01,1.76846,1.61543,2.25701,5.90089
2010-04-01,2.92747,1.99633,2.17933,4.46141
2010-07-01,3.34919,3.03048,2.59202,6.41458
2010-10-01,2.78845,3.59934,2.71975,10.51426
2011-01-01,2.03061,5.16197,1.97191,10.25132
2011-04-01,1.73791,6.29574,2.5972,9.08574
2011-07-01,0.91822,9.51943,3.26012,9.75571
2011-10-01,1.52269,9.75141,3.46385,8.00891
2012-01-01,2.60025,9.91894,4.75428,7.4985
2012-04-01,2.37382,9.27003,4.18532,9.06587
2012-07-01,2.59262,7.05792,3.40747,7.56612
2012-10-01,1.56606,8.27735,2.79828,7.23731
2013-01-01,1.6163,7.31797,2.26937,6.94057
2013-04-01,1.29617,6.85648,1.94849,6.55156
2013-07-01,1.91984,6.27892,2.13916,6.03292
2013-10-01,2.53205,5.44088,2.46814,6.98091
2014-01-01,1.29406,6.16303,2.80384,6.77712
2014-04-01,2.452,6.51199,2.83497,6.91091
2014-07-01,2.83146,6.10167,2.52106,8.09098
2014-10-01,2.56376,5.91814,2.07379,7.27521
2015-01-01,3.7612,6.06596,2.23014,7.47098
2015-04-01,3.03985,5.49263,1.87007,6.72777
2015-07-01,2.18267,5.75251,2.44267,6.23095
2015-10-01,1.87468,5.67136,2.68516,6.07706
2016-01-01,1.64819,6.14583,2.63682,5.9626
2016-04-01,1.36763,6.88084,3.19693,5.75358
2016-07-01,1.64826,7.17991,2.26998,5.62269
2016-10-01,2.00418,7.01231,2.72304,6.8943
2017-01-01,1.88528,6.43076,2.08526,6.6731
2017-04-01,2.14672,5.66557,2.1097,7.74416
2017-07-01,2.26656,5.24778,2.9661,6.83837
2017-10-01,2.71789,4.8654,2.343,4.67675
2018-01-01,3.01531,4.06018,2.98059,3.68098
2018-04-01,3.29615,4.00991,3.192,1.78334
2018-07-01,3.05289,3.5891,2.62809,2.09281
2018-10-01,2.32062,3.65643,2.31403,2.55512
2019-01-01,2.153,3.90391,1.85959,3.99651
2019-04-01,2.11148,4.62468,1.66338,3.90107
2019-07-01,2.31833,5.55907,2.06251,2.12654
2019-10-01,2.56942,6.68788,2.33261,2.42502
2020-01-01,0.63079,10.1849,1.60327,4.48652
2020-04-01,-9.08374,22.87052,-5.95183,8.47347
2020-07-01,-2.88751,23.79505,-3.44551,12.09492
2020-10-01,-2.26292,24.84219,-0.67164,12.67201
2021-01-01,0.54698,24.17472,1.40895,9.85538
2021-04-01,12.22668,12.85764,9.69773,7.72567
2021-07-01,4.94656,13.01359,4.05289,7.92821
2021-10-01,5.53348,12.3683,4.40173,9.3182
2022-01-01,3.52789,9.49944,3.34632,9.32066
2022-04-01,1.70978,5.89923,,
